collection_extract,ALOUETTE_RIVER,ASHLU_CREEK,ATNARKO_RIVER,BABINE_RIVER-SECTIONS_1_TO_3,BEDWELL_RIVER,BLIND_CREEK,BOWRON_RIVER,BRIDGE_RIVER,BULKLEY_RIVER-UPPER,BURMAN_RIVER,CARIBOO_RIVER-UPPER,CHEAKAMUS_RIVER,CHEHALIS_RIVER_summer,CHEMAINUS_RIVER,CHILAKO_RIVER,CHILKO_RIVER,CHILCOTIN_RIVER,CHILCOTIN_RIVER-UPPER,CHILLIWACK_RIVER_fall,CHILLIWACK_RIVER_summer,CHUCKWALLA_RIVER,COLDWATER_RIVER,CONUMA_RIVER,COQUITLAM_RIVER,COTTONWOOD_RIVER_LOWER,COWICHAN_RIVER,CYPRE_RIVER,DEADMAN_RIVER,ENDAKO_RIVER,FULTON_RIVER,GOLD_RIVER,GOLDSTREAM_RIVER,GOODSPEED_RIVER,GU2,GU4a,GU6b,GU6c,HARRISON_RIVER,HORSEFLY_RIVER,INDIANPOINT_CREEK,KENNEDY_RIVER-LOWER,KILBELLA_RIVER,KITIMAT_RIVER,KITSUMKALUM_RIVER-LOWER,KLOIYA_RIVER,KOKISH_RIVER,LANG_CREEK,LEINER_RIVER,LITTLE_CAMPBELL_RIVER,LITTLE_QUALICUM_RIVER,MAMQUAM_RIVER,MARBLE_RIVER,MARIA_SLOUGH,MCGREGOR_RIVER,MORKILL_RIVER,NAHATLATCH_RIVER,NAHMINT_RIVER,NANAIMO_RIVER_fall,NANAIMO_RIVER_summer,NAZKO_RIVER,NECHAKO_RIVER,NICOLA_RIVER,NICOMEKL_RIVER,NIMPKISH_RIVER,NITINAT_RIVER,NOOSGULCH_RIVER,NUSATSUM_RIVER,OKANAGAN_RIVER,OYSTER_RIVER,PHILLIPS_RIVER,PORTAGE_CREEK,PORTEAU_COVE,PUNTLEDGE_RIVER,PUNTLEDGE_RIVER_fall,QUALICUM_RIVER,QUESNEL_RIVER,QUINSAM_RIVER,ROBERTSON_CREEK,SALLOOMT_RIVER,SALMON_RIVER,SALMON_RIVER_JNST,SALMON_RIVER_SOTH,SAN_JUAN_RIVER,SARITA_RIVER,SERPENTINE_RIVER,SHOVELNOSE_CREEK,SHUSWAP_RIVER-LOWER,SHUSWAP_RIVER-MIDDLE,SLIAMMON_CREEK,SLIM_CREEK,SOOKE_RIVER,SOUTHGATE_RIVER,SPIUS_CREEK,STAVE_RIVER,SUCWOA_RIVER,SWIFT_CREEK,TAHSIS_RIVER,TAHSISH_RIVER,TATCHUN_RIVER,TETE_JAUNE,THORNTON_CREEK,TLUPANA_RIVER,TOQUART_RIVER,TORPY_RIVER,TRANQUIL_CREEK,WANNOCK_RIVER,WEST_ROAD_BLACKWATER_RIVER,WILLOW_RIVER,WOSS_RIVER,YAKOUN_RIVER,YUKON_RIVER@WHITEHORSE
ProvState_extract,BC,BC,BC,BC,BC,YK,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,0,0,0,0,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,YK,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,YK
repunit_extract,FR-XCU,SMn-GStr,BCR-BENT,MSK-LGLKS,SWVI,Pelly,UFR-spring,MFR-spring,MSK-UprBulk,NoKy,MFR-spring,SMn-GStr,LFR-suppl,EVI-fall,MFR-spring,MFR-summer,MFR-spring,MFR-spring,LFR-fall,LFR-suppl,RI,LTh,NoKy,FR-XCU,MFR-spring,CWCH-KOK,SWVI,LTh,MFR-spring,MSK-LGLKS,SWVI,Goldstr,NWVI,0,0,0,0,LFR-fall,MFR-spring,UFR-spring,SWVI,RI,NCC-stream,KALUM-L,SKEst,NEVI,QP-fall,NoKy,BB,QP-fall,SMn-GStr,NWVI,Maria,UFR-spring,UFR-spring,FRCanyon,SWVI,EVI-fall,EVIGStr-sum,MFR-spring,MFR-summer,LTh,BB,NEVI,SWVI,BCR-BENT,BCR-BENT,OK,QP-fall,SMn-SFj,Portage,SMn-GStr,EVIGStr-sum,QP-fall,QP-fall,MFR-summer,NEVI,SWVI,BCR-BENT,UFR-spring,NEVI,STh-1.3,SWVI,SWVI,BB,SMn-GStr,STh-SHUR,STh-SHUR,QP-fall,UFR-spring,SWVI,HOMATH,LTh,LFR-fall,NoKy,UFR-spring,NoKy,NoKy,MidYR,UFR-spring,SWVI,NoKy,SWVI,UFR-spring,SWVI,WANN,MFR-spring,UFR-spring,NEVI,HGN,UpperYR
Notes,,,Includes Upper and Lower Combined,,,,,,2022 not in EPAD,Some Burman still to do,,,,,2022 not in EPAD,,,,Includes Capilano Transfers; 2015-2017 likely has miscounts,,,,,,,,,,,,,,,"Unclear if we have, but not included for PBT","Unclear if we have, but not included for PBT","Unclear if we have, but not included for PBT","Unclear if we have, but not included for PBT",,,,,,,,,,,,,,,2022 not in EPAD,,,,,,,Summer run,2022 not in EPAD,,,,,,,,,,,,,Summer run,,,,,Effective Tagging <25% up to 2018; 70% 2019-2022 due to contamination,,,,,,,,,Includes Kingfisher,,,,,,,,,,,,,,,,,,,,,,,,
StockCode_extract,182,217,79/1940,55,6738,1000139,263,1619,478,1905,352,216,154,151,1304,272,273,1000073,9107,107,1964,1387,117,499,326,118,1902,254,1104,142,30,56,1626,0,0,0,0,229,29,134,94,2515,146,53,293,2514,443,1340,223,102,1184,351,1155,1000142,1000246,2078,413,9126,126,66,345,253,287,437,114,1389,2733,6335,277,2718,74,2732,105,9105,100,155,106,104,72,1625,1288,132,93,1388,288,218,161,1958,124,262,490,1000604,160,244,87,398,1339,1000570,2318,1000039,128,86,2706,1000247,2062,136,2311,269,432,60,14
2013_F_brood,0.00000,0.00000,440.00000,0.00000,12.00000,0.00000,0.00000,0.00000,7.00000,102.00000,0.00000,3.00000,81.00000,3.00000,0.00000,0.00000,0.00000,0.00000,375.00000,117.00000,0.00000,27.00000,670.00000,0.00000,0.00000,67.00000,22.00000,0.00000,0.00000,0.00000,94.00000,9.00000,1.00000,0.00000,0.00000,0.00000,0.00000,98.00000,0.00000,0.00000,61.00000,0.00000,265.00000,46.00000,7.00000,0.00000,156.00000,53.00000,10.00000,524.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,17.00000,93.00000,20.00000,0.00000,0.00000,71.00000,0.00000,0.00000,1342.00000,0.00000,7.00000,0.00000,4.00000,33.00000,0.00000,39.00000,93.00000,150.00000,447.00000,0.00000,686.00000,1800.00000,1.00000,0.00000,0.00000,22.00000,137.00000,83.00000,0.00000,0.00000,126.00000,52.00000,24.00000,0.00000,0.00000,0.00000,24.00000,0.00000,0.00000,0.00000,5.00000,0.00000,0.00000,0.00000,80.00000,14.00000,34.00000,0.00000,14.00000,41.00000,0.00000,0.00000,25.00000,36.00000,38.00000
2013_F_extract,0.00000,0.00000,439.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,40.00000,0.00000,0.00000,0.00000,0.00000,0.00000,369.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,81.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,53.00000,0.00000,0.00000,0.00000,0.00000,0.00000,48.00000,0.00000,0.00000,0.00000,0.00000,0.00000,100.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,14.00000,0.00000,0.00000,0.00000,0.00000,24.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,93.00000,151.00000,451.00000,0.00000,685.00000,1877.00000,0.00000,0.00000,0.00000,0.00000,0.00000,115.00000,0.00000,0.00000,118.00000,52.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
2013_F_geno,0.00000,0.00000,388.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,39.00000,0.00000,0.00000,0.00000,0.00000,0.00000,348.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,66.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,45.00000,0.00000,0.00000,0.00000,0.00000,0.00000,47.00000,0.00000,0.00000,0.00000,0.00000,0.00000,99.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,13.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,92.00000,149.00000,443.00000,0.00000,681.00000,1876.00000,0.00000,0.00000,0.00000,0.00000,0.00000,110.00000,0.00000,0.00000,118.00000,52.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
2013_M_brood,0.00000,0.00000,464.00000,0.00000,12.00000,0.00000,0.00000,0.00000,21.00000,99.00000,0.00000,6.00000,81.00000,4.00000,0.00000,0.00000,0.00000,0.00000,383.00000,117.00000,0.00000,35.00000,670.00000,0.00000,0.00000,67.00000,22.00000,0.00000,0.00000,0.00000,73.00000,12.00000,1.00000,0.00000,0.00000,0.00000,0.00000,94.00000,0.00000,0.00000,66.00000,0.00000,276.00000,0.00000,8.00000,0.00000,156.00000,66.00000,10.00000,530.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,7.00000,80.00000,16.00000,0.00000,0.00000,71.00000,0.00000,0.00000,1139.00000,0.00000,14.00000,0.00000,9.00000,38.00000,0.00000,46.00000,93.00000,150.00000,447.00000,0.00000,684.00000,1770.00000,3.00000,0.00000,0.00000,23.00000,137.00000,92.00000,0.00000,0.00000,136.00000,52.00000,28.00000,0.00000,0.00000,0.00000,23.00000,0.00000,0.00000,0.00000,2.00000,0.00000,0.00000,0.00000,85.00000,14.00000,42.00000,0.00000,14.00000,40.00000,0.00000,0.00000,34.00000,36.00000,69.00000
2013_M_extract,0.00000,0.00000,455.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,2.00000,45.00000,0.00000,0.00000,0.00000,0.00000,0.00000,374.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,35.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,85.00000,0.00000,0.00000,0.00000,0.00000,0.00000,89.00000,0.00000,0.00000,0.00000,0.00000,0.00000,100.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,14.00000,0.00000,0.00000,0.00000,0.00000,24.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,95.00000,150.00000,478.00000,0.00000,687.00000,2229.00000,0.00000,0.00000,0.00000,0.00000,0.00000,160.00000,0.00000,0.00000,121.00000,51.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
2013_M_geno,0.00000,0.00000,428.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,2.00000,45.00000,0.00000,0.00000,0.00000,0.00000,0.00000,355.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,32.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,66.00000,0.00000,0.00000,0.00000,0.00000,0.00000,88.00000,0.00000,0.00000,0.00000,0.00000,0.00000,100.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,13.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,94.00000,150.00000,476.00000,0.00000,687.00000,2227.00000,0.00000,0.00000,0.00000,0.00000,0.00000,157.00000,0.00000,0.00000,26.00000,51.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
